Episode number, Episode reward
781,-1489.6265011302326
782,-1378.728336907767
783,-1413.6254761418388
784,-1071.115791953648
785,-2012.7698033446347
786,-1432.877219801713
787,-2356.7830198288616
788,-2022.4675220247007
789,-1234.2470076272075
790,-1281.7036725342423
791,-1907.3370362201383
792,-922.7767759041731
793,-1290.7935774212624
794,-1256.791634070982
795,-2239.0393824602984
796,-2077.9896095367467
797,-1382.5267564747028
798,-1488.187822245702
799,-1549.5093434961204
800,-2098.724536726483
801,-1808.3488409392194
802,-1162.964787027213
803,-1081.908938422254
804,-1086.7604320707856
805,-1939.489697285641
806,-2154.2700780314476
807,-1072.9043220407107
808,-1812.3934653236656
809,-1363.0627912166592
810,-1496.4342477804566
811,-1836.246407767957
812,-2247.7175992656544
813,-1403.77164477753
814,-1552.6964013057245
815,-964.3665314430165
816,-1190.6946825966136
817,-1552.1522505502908
818,-2111.1517722866133
819,-1296.5440504194264
820,-1130.093110872095
821,-1865.367549613398
822,-1952.0389355781356
823,-1383.8132439376452
824,-1174.4976671450124
825,-1489.336047095075
826,-1517.0995468623569
827,-2197.2139813329177
828,-1957.5380687641023
829,-1946.7476558364622
830,-2187.1678296510195
831,-1197.5710446002486
832,-1284.827671828462
833,-1188.4838776455908
834,-1028.6589357732978
835,-1161.8207824911613
836,-1230.859784017867
837,-1328.3201115751467
838,-1183.3144837345703
839,-1332.8922605236967
840,-1160.6673859214832
841,-1291.287971869653
842,-1276.5413042545504
843,-1223.3287728928046
844,-1336.983624576674
845,-2280.54488207486
846,-1215.2324540840395
847,-1981.5098755960548
848,-1275.001228956399
849,-1372.6054312621018
850,-1226.3714728054747
851,-1253.5501250226819
852,-1373.8334508539692
853,-2007.2902189666356
854,-1045.7421625106679
855,-1106.3047111826254
856,-1206.1319205959398
857,-1195.2299187954359
858,-1307.3197195255677
859,-1194.2966374322405
860,-2159.0992253719787
861,-1441.928470133607
862,-2252.540764157724
863,-1208.2783014029453
864,-1935.8198272469133
865,-1096.7957350414777
866,-948.4627129789679
867,-1351.9939271944713
868,-2195.1032951875122
869,-816.5273984217246
870,-1258.7330443645083
871,-1214.8448352280618
872,-2121.2022499617756
873,-1528.3332933520123
874,-2219.406823710883
875,-2024.5041051066705
876,-1397.1737495036612
877,-1917.189801496697
878,-997.2354301585456
879,-1032.7519040742027
880,-1292.4081723024815
881,-2050.2678897659807
882,-1234.4968398197077
883,-1030.7003439701275
884,-1994.038549162105
885,-1240.4549235271638
886,-1353.7054616706032
887,-1038.0944557140917
888,-1971.8715603209357
889,-1004.9401302063748
890,-1238.8489186664835
891,-1423.153745632322
892,-1256.441728243473
893,-1182.0879546744359
894,-1133.5830879736845
895,-1079.4233073036978
896,-1033.935198245495
897,-887.4773451950532
898,-1334.7342879181747
899,-1295.7877262850727
900,-1166.7558271231774
901,-1835.699531356542
902,-1086.5122888384712
903,-1178.7293501737192
904,-1287.770021762095
905,-1305.8107861502506
906,-1233.7642381163607
907,-930.6568296140521
908,-1163.4897519373321
909,-1171.533913779291
910,-2141.9834132712067
911,-1119.9799236080514
912,-1529.570074708689
913,-1981.1182932031372
914,-1243.384842043021
915,-1899.552220728706
916,-1047.565365400657
917,-1773.169118563991
918,-1199.129257154071
919,-1191.4357158376731
920,-1151.9757552761712
